Date,Day,Hour,Cars,Motorcycles,Buses,Trucks,Traffic_Volume
2026-01-06,Tuesday,10,383,133,48,61,625
2026-01-06,Tuesday,11,236,113,29,31,409
2026-01-06,Tuesday,12,145,68,11,42,266
2026-01-06,Tuesday,13,165,73,16,33,287
2026-01-06,Tuesday,14,191,89,19,22,321
2026-01-06,Tuesday,15,192,66,14,42,314
2026-01-06,Tuesday,16,366,151,44,65,626
2026-01-06,Tuesday,17,413,216,52,66,747
2026-01-06,Tuesday,18,437,181,36,132,786
2026-01-06,Tuesday,19,446,177,40,64,727
2026-01-06,Tuesday,20,360,184,44,39,627
2026-01-06,Tuesday,21,248,132,30,35,445
2026-01-07,Wednesday,6,182,98,22,42,344
2026-01-07,Wednesday,7,197,91,13,41,342
2026-01-07,Wednesday,8,392,149,38,73,652
2026-01-07,Wednesday,9,349,185,45,56,635
2026-01-07,Wednesday,10,328,152,27,23,530
2026-01-07,Wednesday,11,240,136,30,48,454
2026-01-07,Wednesday,12,168,92,13,46,319
2026-01-07,Wednesday,13,129,67,11,35,242
2026-01-07,Wednesday,14,169,59,11,51,290
2026-01-07,Wednesday,15,258,124,22,41,445
2026-01-07,Wednesday,16,239,127,35,55,456
2026-01-07,Wednesday,17,425,204,29,63,721
2026-01-07,Wednesday,18,394,185,51,111,741
2026-01-07,Wednesday,19,433,154,49,80,716
2026-01-07,Wednesday,20,285,141,41,54,521
2026-01-07,Wednesday,21,181,90,14,60,345
2026-01-08,Thursday,6,177,65,13,46,301
2026-01-08,Thursday,7,252,100,29,27,408
2026-01-08,Thursday,8,337,125,45,78,585
2026-01-08,Thursday,9,379,177,43,57,656
2026-01-08,Thursday,10,344,161,36,103,644
2026-01-08,Thursday,11,277,111,26,107,521
2026-01-08,Thursday,12,203,94,23,41,361
2026-01-08,Thursday,13,161,63,18,46,288
2026-01-08,Thursday,14,134,62,15,46,257
2026-01-08,Thursday,15,264,117,31,46,458
2026-01-08,Thursday,16,321,127,39,62,549
2026-01-08,Thursday,17,427,199,41,93,760
2026-01-08,Thursday,18,466,226,60,34,786
2026-01-08,Thursday,19,406,198,37,69,710
2026-01-08,Thursday,20,297,110,22,94,523
2026-01-08,Thursday,21,240,104,24,89,457
2026-01-09,Friday,6,161,80,11,40,292
2026-01-09,Friday,7,207,81,15,39,342
2026-01-09,Friday,8,297,132,43,88,560
2026-01-09,Friday,9,465,180,52,82,779
2026-01-09,Friday,10,291,137,21,73,522
2026-01-09,Friday,11,268,101,21,79,469
2026-01-09,Friday,12,218,90,25,20,353
2026-01-09,Friday,13,178,81,18,57,334
2026-01-09,Friday,14,222,90,21,40,373
2026-01-09,Friday,15,210,113,16,52,391
2026-01-09,Friday,16,269,122,31,68,490
2026-01-09,Friday,17,319,135,44,106,604
2026-01-09,Friday,18,459,209,55,63,786
2026-01-09,Friday,19,400,182,38,100,720
2026-01-09,Friday,20,328,160,42,48,578
2026-01-09,Friday,21,246,104,29,24,403
2026-01-10,Saturday,6,92,41,7,23,163
2026-01-10,Saturday,7,187,80,14,25,306
2026-01-10,Saturday,8,250,94,35,86,465
2026-01-10,Saturday,9,278,131,20,77,506
2026-01-10,Saturday,10,257,115,34,31,437
2026-01-10,Saturday,11,210,102,28,31,371
2026-01-10,Saturday,12,70,31,8,6,115
2026-01-10,Saturday,13,135,55,14,24,228
2026-01-10,Saturday,14,142,68,11,10,231
2026-01-10,Saturday,15,222,87,16,49,374
2026-01-10,Saturday,16,206,85,27,27,345
2026-01-10,Saturday,17,321,125,37,38,521
2026-01-10,Saturday,18,353,172,47,42,614
2026-01-10,Saturday,19,285,129,22,109,545
2026-01-10,Saturday,20,209,96,25,26,356
2026-01-10,Saturday,21,152,71,10,23,256
2026-01-11,Sunday,6,111,54,7,19,191
2026-01-11,Sunday,7,188,64,17,51,320
2026-01-11,Sunday,8,237,90,29,48,404
2026-01-11,Sunday,9,333,126,35,57,551
2026-01-11,Sunday,10,223,118,19,49,409
2026-01-11,Sunday,11,185,91,24,35,335
2026-01-11,Sunday,12,173,75,14,53,315
2026-01-11,Sunday,13,138,60,14,11,223
2026-01-11,Sunday,14,138,56,10,23,227
2026-01-11,Sunday,15,192,80,14,80,366
2026-01-11,Sunday,16,210,84,20,47,361
2026-01-11,Sunday,17,256,109,22,44,431
2026-01-11,Sunday,18,298,127,41,84,550
2026-01-11,Sunday,19,287,125,32,40,484
2026-01-11,Sunday,20,200,85,17,66,368
2026-01-11,Sunday,21,229,111,28,30,398
2026-01-12,Monday,6,191,101,22,24,338
2026-01-12,Monday,7,218,104,17,67,406
2026-01-12,Monday,8,346,141,32,44,563
2026-01-12,Monday,9,433,147,29,94,703
2026-01-12,Monday,10,252,117,29,81,479
2026-01-12,Monday,11,249,100,26,101,476
2026-01-12,Monday,12,209,78,18,50,355
2026-01-12,Monday,13,145,51,11,52,259
2026-01-12,Monday,14,133,64,15,44,256
2026-01-12,Monday,15,186,92,24,29,331
2026-01-12,Monday,16,302,122,32,92,548
2026-01-12,Monday,17,357,153,50,99,659
2026-01-12,Monday,18,403,193,32,84,712
2026-01-12,Monday,19,387,211,29,98,725
2026-01-12,Monday,20,307,123,38,119,587
2026-01-12,Monday,21,257,115,32,42,446
2026-01-13,Tuesday,6,183,79,14,27,303
2026-01-13,Tuesday,7,245,91,31,38,405
2026-01-13,Tuesday,8,309,159,29,36,533
2026-01-13,Tuesday,9,338,171,39,66,614
2026-01-13,Tuesday,10,356,147,27,105,635
2026-01-13,Tuesday,11,242,88,20,88,438
2026-01-13,Tuesday,12,145,67,13,22,247
2026-01-13,Tuesday,13,161,59,12,47,279
2026-01-13,Tuesday,14,134,62,19,36,251
2026-01-13,Tuesday,15,206,118,25,47,396
2026-01-13,Tuesday,16,334,157,33,24,548
2026-01-13,Tuesday,17,353,132,41,120,646
2026-01-13,Tuesday,18,457,221,31,71,780
2026-01-13,Tuesday,19,401,212,37,90,740
2026-01-13,Tuesday,20,293,122,34,61,510
2026-01-13,Tuesday,21,262,125,36,33,456
2026-01-14,Wednesday,6,161,56,20,45,282
2026-01-14,Wednesday,7,240,89,32,68,429
2026-01-14,Wednesday,8,326,119,43,67,555
2026-01-14,Wednesday,9,338,179,47,63,627
2026-01-14,Wednesday,10,295,142,39,45,521
2026-01-14,Wednesday,11,240,115,29,37,421
2026-01-14,Wednesday,12,184,67,24,45,320
2026-01-14,Wednesday,13,138,48,11,34,231
2026-01-14,Wednesday,14,198,113,20,49,380
2026-01-14,Wednesday,15,287,113,24,49,473
2026-01-14,Wednesday,16,396,165,43,82,686
2026-01-14,Wednesday,17,380,147,37,108,672
2026-01-14,Wednesday,18,406,165,51,141,763
2026-01-14,Wednesday,19,369,134,26,72,601
2026-01-14,Wednesday,20,328,123,25,64,540
2026-01-14,Wednesday,21,191,82,16,45,334
2026-01-15,Thursday,6,173,90,20,23,306
2026-01-15,Thursday,7,174,74,17,64,329
2026-01-15,Thursday,8,342,163,44,14,563
2026-01-15,Thursday,9,364,122,26,81,593
2026-01-15,Thursday,10,358,130,46,90,624
2026-01-15,Thursday,11,217,81,18,62,378
2026-01-15,Thursday,12,172,73,19,21,285
2026-01-15,Thursday,13,158,68,19,39,284
2026-01-15,Thursday,14,155,84,12,37,288
2026-01-15,Thursday,15,201,86,28,66,381
2026-01-15,Thursday,16,282,123,25,74,504
2026-01-15,Thursday,17,439,208,38,41,726
2026-01-15,Thursday,18,417,172,35,143,767
2026-01-15,Thursday,19,391,178,39,35,643
2026-01-15,Thursday,20,356,157,35,74,622
2026-01-15,Thursday,21,209,116,23,46,394
2026-01-16,Friday,6,195,93,17,60,365
2026-01-16,Friday,7,212,86,31,77,406
2026-01-16,Friday,8,349,148,33,72,602
2026-01-16,Friday,9,334,185,45,56,620
2026-01-16,Friday,10,225,85,30,58,398
2026-01-16,Friday,11,188,84,25,62,359
2026-01-16,Friday,12,236,110,19,32,397
2026-01-16,Friday,13,149,69,10,37,265
2026-01-16,Friday,14,126,47,13,44,230
2026-01-16,Friday,15,207,102,21,58,388
2026-01-16,Friday,16,309,152,32,67,560
2026-01-16,Friday,17,380,162,51,63,656
2026-01-16,Friday,18,358,178,49,82,667
2026-01-16,Friday,19,397,203,49,54,703
2026-01-16,Friday,20,320,148,29,62,559
2026-01-16,Friday,21,252,124,25,52,453
2026-01-17,Saturday,6,132,55,17,19,223
2026-01-17,Saturday,7,192,77,18,42,329
2026-01-17,Saturday,8,228,89,28,84,429
2026-01-17,Saturday,9,256,88,23,70,437
2026-01-17,Saturday,10,278,133,23,32,466
2026-01-17,Saturday,11,131,56,11,49,247
2026-01-17,Saturday,12,140,69,11,19,239
2026-01-17,Saturday,13,125,62,13,13,213
2026-01-17,Saturday,14,121,48,16,24,209
2026-01-17,Saturday,15,167,57,15,46,285
2026-01-17,Saturday,16,220,92,29,38,379
2026-01-17,Saturday,17,282,130,30,69,511
2026-01-17,Saturday,18,292,118,40,79,529
2026-01-17,Saturday,19,305,150,35,15,505
2026-01-17,Saturday,20,220,91,21,38,370
2026-01-17,Saturday,21,199,78,17,48,342
2026-01-18,Sunday,6,126,49,16,34,225
2026-01-18,Sunday,7,182,68,18,72,340
2026-01-18,Sunday,8,251,89,29,48,417
2026-01-18,Sunday,9,223,119,19,38,399
2026-01-18,Sunday,10,228,106,31,42,407
2026-01-18,Sunday,11,187,75,25,68,355
2026-01-18,Sunday,12,128,56,9,19,212
2026-01-18,Sunday,13,61,27,7,19,114
2026-01-18,Sunday,14,121,54,16,15,206
2026-01-18,Sunday,15,173,89,25,41,328
2026-01-18,Sunday,16,244,104,18,66,432
2026-01-18,Sunday,17,277,139,36,48,500
2026-01-18,Sunday,18,271,112,33,68,484
2026-01-18,Sunday,19,264,134,21,45,464
2026-01-18,Sunday,20,200,81,23,75,379
2026-01-18,Sunday,21,119,45,13,51,228
2026-01-19,Monday,6,142,72,19,39,272
2026-01-19,Monday,7,210,112,28,44,394
2026-01-19,Monday,8,322,111,29,73,535
2026-01-19,Monday,9,369,186,40,82,677
2026-01-19,Monday,10,309,129,26,83,547
2026-01-19,Monday,11,223,79,16,57,375
2026-01-19,Monday,12,145,76,15,35,271
2026-01-19,Monday,13,157,78,17,44,296
2026-01-19,Monday,14,174,85,21,8,288
2026-01-19,Monday,15,169,82,16,45,312
2026-01-19,Monday,16,259,114,32,45,450
2026-01-19,Monday,17,385,151,47,154,737
2026-01-19,Monday,18,343,152,44,91,630
2026-01-19,Monday,19,336,139,29,80,584
2026-01-19,Monday,20,295,137,35,69,536
2026-01-19,Monday,21,210,89,30,75,404
2026-01-20,Tuesday,6,159,85,17,36,297
2026-01-20,Tuesday,7,270,90,21,60,441
2026-01-20,Tuesday,8,340,169,30,92,631
2026-01-20,Tuesday,9,306,137,26,98,567
2026-01-20,Tuesday,10,326,124,29,59,538
2026-01-20,Tuesday,11,198,80,22,57,357
2026-01-20,Tuesday,12,160,77,11,16,264
2026-01-20,Tuesday,13,99,49,8,32,188
2026-01-20,Tuesday,14,203,96,20,22,341
2026-01-20,Tuesday,15,214,98,21,76,409
2026-01-20,Tuesday,16,281,136,22,49,488
2026-01-20,Tuesday,17,342,149,47,63,601
2026-01-20,Tuesday,18,399,184,32,99,714
2026-01-20,Tuesday,19,365,142,50,120,677
2026-01-20,Tuesday,20,260,112,26,71,469
2026-01-20,Tuesday,21,230,110,20,16,376
2026-01-21,Wednesday,6,118,53,12,26,209
2026-01-21,Wednesday,7,234,94,21,58,407
2026-01-21,Wednesday,8,284,116,37,101,538
2026-01-21,Wednesday,9,332,157,43,83,615
2026-01-21,Wednesday,10,322,156,34,23,535
2026-01-21,Wednesday,11,221,124,23,53,421
2026-01-21,Wednesday,12,173,60,12,56,301
2026-01-21,Wednesday,13,185,65,22,50,322
2026-01-21,Wednesday,14,103,44,7,28,182
2026-01-21,Wednesday,15,211,109,20,42,382
2026-01-21,Wednesday,16,299,118,38,93,548
2026-01-21,Wednesday,17,316,163,43,30,552
2026-01-21,Wednesday,18,364,175,50,88,677
2026-01-21,Wednesday,19,333,137,34,50,554
2026-01-21,Wednesday,20,231,96,21,51,399
2026-01-21,Wednesday,21,188,99,26,42,355
2026-01-22,Thursday,6,162,85,12,37,296
2026-01-22,Thursday,7,231,110,19,49,409
2026-01-22,Thursday,8,285,134,21,72,512
2026-01-22,Thursday,9,373,144,29,106,652
2026-01-22,Thursday,10,316,119,44,92,571
2026-01-22,Thursday,11,243,120,17,25,405
2026-01-22,Thursday,12,190,82,17,24,313
2026-01-22,Thursday,13,139,67,21,40,267
2026-01-22,Thursday,14,200,103,19,61,383
2026-01-22,Thursday,15,191,107,26,41,365
2026-01-22,Thursday,16,316,113,32,64,525
2026-01-22,Thursday,17,359,149,36,79,623
2026-01-22,Thursday,18,459,172,35,79,745
2026-01-22,Thursday,19,408,138,49,67,662
2026-01-22,Thursday,20,332,164,40,16,552
2026-01-22,Thursday,21,158,83,18,38,297
2026-01-23,Friday,6,173,84,19,9,285
2026-01-23,Friday,7,148,62,14,38,262
2026-01-23,Friday,8,286,112,38,105,541
2026-01-23,Friday,9,346,147,23,50,566
2026-01-23,Friday,10,301,166,27,64,558
2026-01-23,Friday,11,235,114,18,17,384
2026-01-23,Friday,12,143,55,12,58,268
2026-01-23,Friday,13,170,70,18,21,279
2026-01-23,Friday,14,180,78,22,21,301
2026-01-23,Friday,15,236,89,20,81,426
2026-01-23,Friday,16,339,131,39,44,553
2026-01-23,Friday,17,341,147,41,106,635
2026-01-23,Friday,18,373,147,45,97,662
2026-01-23,Friday,19,416,148,30,84,678
2026-01-23,Friday,20,248,109,24,54,435
2026-01-23,Friday,21,134,58,13,31,236
2026-01-24,Saturday,6,125,48,14,29,216
2026-01-24,Saturday,7,182,72,22,19,295
2026-01-24,Saturday,8,189,101,23,47,360
2026-01-24,Saturday,9,236,110,31,43,420
2026-01-24,Saturday,10,216,104,26,45,391
2026-01-24,Saturday,11,139,60,18,33,250
2026-01-24,Saturday,12,121,50,9,25,205
2026-01-24,Saturday,13,52,21,6,20,99
2026-01-24,Saturday,14,60,22,4,13,99
2026-01-24,Saturday,15,107,43,10,40,200
2026-01-24,Saturday,16,237,107,26,21,391
2026-01-24,Saturday,17,237,106,19,66,428
2026-01-24,Saturday,18,283,109,31,91,514
2026-01-24,Saturday,19,219,103,29,65,416
2026-01-24,Saturday,20,188,76,22,28,314
2026-01-24,Saturday,21,132,51,13,42,238
2026-01-25,Sunday,6,121,61,11,30,223
2026-01-25,Sunday,7,153,70,15,50,288
2026-01-25,Sunday,8,161,82,23,32,298
2026-01-25,Sunday,9,290,142,39,27,498
2026-01-25,Sunday,10,160,76,18,10,264
2026-01-25,Sunday,11,175,66,19,72,332
2026-01-25,Sunday,12,130,59,14,29,232
2026-01-25,Sunday,13,66,28,9,23,126
2026-01-25,Sunday,14,77,35,9,4,125
2026-01-25,Sunday,15,170,68,19,47,304
2026-01-25,Sunday,16,197,91,18,50,356
2026-01-25,Sunday,17,260,99,37,87,483
2026-01-25,Sunday,18,296,131,23,41,491
2026-01-25,Sunday,19,300,113,38,49,500
2026-01-25,Sunday,20,219,104,18,32,373
2026-01-25,Sunday,21,146,53,13,26,238
2026-01-26,Monday,6,113,57,14,24,208
2026-01-26,Monday,7,237,87,15,55,394
2026-01-26,Monday,8,363,119,28,77,587
2026-01-26,Monday,9,363,126,33,83,605
2026-01-26,Monday,10,260,102,22,84,468
2026-01-26,Monday,11,212,107,24,32,375
2026-01-26,Monday,12,155,60,14,23,252
2026-01-26,Monday,13,141,70,18,31,260
2026-01-26,Monday,14,188,73,15,56,332
2026-01-26,Monday,15,237,121,33,42,433
2026-01-26,Monday,16,270,112,24,89,495
2026-01-26,Monday,17,401,156,31,65,653
2026-01-26,Monday,18,351,127,29,121,628
2026-01-26,Monday,19,390,144,50,68,652
2026-01-26,Monday,20,340,125,23,75,563
2026-01-26,Monday,21,231,109,29,51,420
2026-01-27,Tuesday,6,168,82,19,12,281
2026-01-27,Tuesday,7,267,111,30,33,441
2026-01-27,Tuesday,8,337,129,25,76,567
2026-01-27,Tuesday,9,313,137,34,65,549
2026-01-27,Tuesday,10,321,156,26,34,537
2026-01-27,Tuesday,11,248,106,20,48,422
2026-01-27,Tuesday,12,187,82,23,12,304
2026-01-27,Tuesday,13,199,94,21,45,359
2026-01-27,Tuesday,14,177,81,25,53,336
2026-01-27,Tuesday,15,231,92,30,34,387
2026-01-27,Tuesday,16,287,144,27,64,522
2026-01-27,Tuesday,17,408,197,28,65,698
2026-01-27,Tuesday,18,381,165,38,61,645
2026-01-27,Tuesday,19,346,179,25,75,625
2026-01-27,Tuesday,20,312,104,35,58,509
2026-01-27,Tuesday,21,222,100,27,18,367
2026-01-28,Wednesday,6,130,63,11,23,227
2026-01-28,Wednesday,7,168,95,22,37,322
2026-01-28,Wednesday,8,329,140,32,54,555
2026-01-28,Wednesday,9,351,132,45,73,601
2026-01-28,Wednesday,10,290,134,23,76,523
2026-01-28,Wednesday,11,217,104,18,17,356
2026-01-28,Wednesday,12,171,66,14,65,316
2026-01-28,Wednesday,13,138,46,10,30,224
2026-01-28,Wednesday,14,139,67,15,21,242
2026-01-28,Wednesday,15,217,94,25,37,373
2026-01-28,Wednesday,16,275,122,23,76,496
2026-01-28,Wednesday,17,339,133,31,119,622
2026-01-28,Wednesday,18,409,199,55,78,741
2026-01-28,Wednesday,19,377,146,30,80,633
2026-01-28,Wednesday,20,296,111,30,48,485
2026-01-28,Wednesday,21,245,111,27,44,427
2026-01-29,Thursday,6,128,64,16,32,240
2026-01-29,Thursday,7,197,91,21,66,375
2026-01-29,Thursday,8,270,121,34,74,499
2026-01-29,Thursday,9,361,150,36,60,607
2026-01-29,Thursday,10,370,150,36,48,604
2026-01-29,Thursday,11,210,73,21,50,354
2026-01-29,Thursday,12,111,45,10,16,182
2026-01-29,Thursday,13,172,66,14,54,306
2026-01-29,Thursday,14,110,51,15,37,213
2026-01-29,Thursday,15,155,76,13,54,298
2026-01-29,Thursday,16,267,131,26,75,499
2026-01-29,Thursday,17,365,179,32,75,651
2026-01-29,Thursday,18,425,205,55,61,746
2026-01-29,Thursday,19,312,131,28,106,577
2026-01-29,Thursday,20,307,159,42,24,532
2026-01-29,Thursday,21,234,114,31,23,402
2026-01-30,Friday,6,197,97,17,33,344
2026-01-30,Friday,7,275,133,34,4,446
2026-01-30,Friday,8,324,137,36,96,593
2026-01-30,Friday,9,375,173,37,74,659
2026-01-30,Friday,10,346,145,28,107,626
2026-01-30,Friday,11,271,109,22,46,448
2026-01-30,Friday,12,170,59,15,52,296
2026-01-30,Friday,13,134,52,9,34,229
2026-01-30,Friday,14,179,62,22,48,311
2026-01-30,Friday,15,233,98,23,48,402
2026-01-30,Friday,16,355,171,23,44,593
2026-01-30,Friday,17,404,168,30,60,662
2026-01-30,Friday,18,451,210,49,61,771
2026-01-30,Friday,19,355,143,36,90,624
2026-01-30,Friday,20,322,121,32,119,594
2026-01-30,Friday,21,189,88,23,64,364
2026-01-31,Saturday,6,96,45,11,10,162
2026-01-31,Saturday,7,194,89,17,42,342
2026-01-31,Saturday,8,214,96,22,63,395
2026-01-31,Saturday,9,265,128,21,26,440
2026-01-31,Saturday,10,226,126,33,49,434
2026-01-31,Saturday,11,178,88,22,11,299
2026-01-31,Saturday,12,102,37,13,27,179
2026-01-31,Saturday,13,140,58,15,28,241
2026-01-31,Saturday,14,117,40,13,27,197
2026-01-31,Saturday,15,109,48,10,26,193
2026-01-31,Saturday,16,212,85,16,46,359
2026-01-31,Saturday,17,232,120,28,31,411
2026-01-31,Saturday,18,286,112,34,40,472
2026-01-31,Saturday,19,266,134,23,35,458
2026-01-31,Saturday,20,204,70,14,42,330
2026-01-31,Saturday,21,136,50,14,46,246
